productId,area,price,floors,bedroom,toilet,facade,furniture,status_doc,district_name,ggmap_e,ggmap_n,product_link,district_id,market,hospital,elevator
39813428,114.0,6900.0,3.0,4.0,4.0,,1,1,quan-12,106.6194511,10.8395231,https://batdongsan.com.vn/ban-nha-rieng-duong-dong-hung-thuan-5-phuong-tan-hung-thuan-1/ban-nh-chinh-chu-dep-gia-tot-co-thuong-luong-pr39813428,64.0,0,0,0
37280938,63.0,7200.0,3.0,4.0,5.0,4.0,0,0,go-vap,106.6491969,10.8436074,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-khoi-phuong-9-11/chinh-chu-ban-dep-gia-tot-ngay-gan-cong-vien-lang-hoa-go-vap-co-ho-boi-nho-rat-tien-loi-pr37280938,67.0,0,0,0
39945500,49.0,6300.0,2.0,3.0,3.0,,0,1,binh-thanh,106.7077763,10.8152919,https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-xi-phuong-26/ban-hem-xe-hoi-75m2-10-2-ty-duong-26-quan-binh-thanh-pr39945500,66.0,0,0,0
39928693,30.0,6000.0,5.0,5.0,4.0,,0,0,quan-10,106.6719773,10.7678387,https://batdongsan.com.vn/ban-nha-rieng-duong-ly-thai-to-phuong-10-6/ban-hem-4m-5-tang-5-phong-ngu-dong-tien-15-trieu-chi-6-ty-pr39928693,62.0,1,1,0
39767656,54.2,15800.0,,8.0,,,0,0,quan-1,106.686765,10.7629426,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trai-phuong-nguyen-cu-trinh/ban-quan-1-tp-hcm-pr39767656,53.0,0,0,0
39829392,60.0,4090.0,3.0,4.0,3.0,4.8,1,1,phu-nhuan,106.6762337,10.7975236,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-trong-tuyen-phuong-8-13/-chinh-chu-hxh-200-x-phu-nhuan-4-8-x-12-5-60m2-vuong-vuc-gia-chi-4ty090-pr39829392,68.0,0,1,0
39592318,300.0,31500.0,,10.0,4.0,10.0,0,1,binh-thanh,106.7134492,10.8106097,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-26/-chinh-chu-duy-nhat-dt-300m2-tai-p-26-q-binh-thanh-canh-ben-xe-mien-dong-pr39592318,66.0,1,1,0
39884568,35.7,4900.0,2.0,2.0,2.0,,1,0,binh-thanh,106.6905402,10.8060688,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-hoa-tham-phuong-7-9/chinh-chu-ban-7-quan-binh-thanh-moi-100-2tang-no-hau-shr-pr39884568,66.0,1,1,0
39658318,342.5,14800.0,,,,12.0,0,0,quan-12,106.615104583839,10.8249518656746,https://batdongsan.com.vn/ban-nha-rieng-phuong-tan-thoi-nhat-1/ban-dau-gia-tai-san-khach-hang-vietcombank-dat-342-5m2-gia-15-ty-574-374-8m2-cap-4-pr39658318,64.0,1,0,0
39956493,51.6,4800.0,2.0,4.0,4.0,,1,1,tan-binh,106.6498035,10.7915407,https://batdongsan.com.vn/ban-nha-rieng-duong-nam-chau-phuong-12-10/ban-dep-trong-thang-hxh-5m-113-p12-q-tan-binh-dt-4-3x12m-51-6m2-1t-2l-gia-4ty8-pr39956493,69.0,1,0,0
39956229,36.0,6600.0,4.0,4.0,5.0,4.0,1,1,phu-nhuan,106.678453,10.8075821,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-kiem-phuong-4-19/tuyet-pham-3-lau-thiet-ke-seoul-han-quoc-hem-dep-oto-do-cach-10m-khu-dan-cu-cao-cap-kiem-pr39956229,68.0,1,1,0
39955362,52.0,4950.0,3.0,3.0,3.0,5.0,0,0,tan-binh,106.6628347,10.793765,https://batdongsan.com.vn/ban-nha-rieng-duong-pham-van-hai-phuong-3-22/ban-gap-2-mat-tien-trung-tam-tan-binh-cach-san-bay-2-pr39955362,69.0,1,0,0
39820487,76.0,2750.0,3.0,4.0,4.0,5.0,1,1,tan-binh,106.6666774,10.8002967,https://batdongsan.com.vn/ban-nha-rieng-duong-hoang-van-thu-phuong-8-14/ban-gap-hem-xe-hoi-quan-tan-binh-dt-76m2-gia-2ty750-shr-pr39820487,69.0,0,0,0
39952965,68.0,3450.0,,,,,0,1,quan-5,106.6870615694336,10.780853959046475,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-phu-phuong-7-4/ban-mt-hem-418-p7-q5-68-8m2-3ty-690tr-shr-dang-cho-thue-26tr-thang-pr39952965,57.0,0,0,0
39952925,75.0,,2.0,4.0,5.0,,1,1,tan-binh,106.6535135,10.7815875,https://batdongsan.com.vn/ban-nha-rieng-duong-thanh-my-phuong-8-14/chinh-chu-ban-gap-55-p8-tan-binh-75m2-2-ty550-shr-dang-cho-thue-15tr-th-pr39952925,69.0,0,0,0
39952816,72.0,3150.0,2.0,4.0,4.0,,1,1,phu-nhuan,106.6758672,10.8068686,https://batdongsan.com.vn/ban-nha-rieng-duong-dao-duy-anh-phuong-9-12/-re-can-ban-p-9-phu-nhuan-dt-72m2-gia-3-ty-150tr-thue-18-thang-so-rieng-pr39952816,68.0,0,0,0
39952738,94.0,3190.0,3.0,5.0,6.0,,0,1,quan-11,106.6553549,10.7707841,https://batdongsan.com.vn/ban-nha-rieng-duong-lu-gia-phuong-15-4/dau-tu-sinh-loi-khung-p15-quan-11-dt-khung-94m2-3-ty190-shr-pr39952738,63.0,0,0,0
39757263,87.0,2300.0,4.0,5.0,5.0,5.0,1,1,quan-6,106.643168,10.7437112,https://batdongsan.com.vn/ban-nha-rieng-duong-binh-tien-phuong-7-5/co-hoi-hiem-cho-khach-dau-tu-khi-mua-p-7-q-6-90m2-2ty780-thue-16-trieu-so-rieng-pr39757263,58.0,1,1,0
39819468,85.0,,3.0,5.0,5.0,5.0,1,1,tan-phu,106.6391373,10.7756665,https://batdongsan.com.vn/ban-nha-rieng-duong-khuong-viet-phuong-phu-trung/gia-giam-manh-85m2-2ty470-ngay-p-q-tan-cho-thue-18tr-thang-pr39819468,70.0,1,0,0
39206758,60.0,5900.0,3.0,4.0,4.0,4.2,0,0,thu-duc,106.7149495021,10.8285828134255,https://batdongsan.com.vn/ban-nha-rieng-duong-quoc-lo-13-phuong-hiep-binh-chanh/ngop-banhk-5-can-chu-giam-1ty-khu-va-phuoc-gia-tu-4ty9-pr39206758,71.0,0,0,0
39620668,56.0,3180.0,,2.0,1.0,6.0,1,1,go-vap,106.6740321,10.8693386,https://batdongsan.com.vn/ban-nha-rieng-duong-to-ngoc-van-phuong-15-6/chinh-chu-ban-go-vap-p15-4x14m-3-39-ty-tl-pr39620668,67.0,0,1,0
39882166,75.0,3800.0,4.0,5.0,5.0,5.0,1,1,binh-thanh,106.7115208,10.8053637,https://batdongsan.com.vn/ban-nha-rieng-duong-xo-viet-nghe-tinh-phuong-24/ban-gap-ngay-p-24-binh-thanh-gia-75m2-3ty2-so-cho-thue-22tr-thang-pr39882166,66.0,1,0,0
39949043,64.0,4200.0,,5.0,4.0,,1,1,tan-binh,106.6682118,10.8059195,https://batdongsan.com.vn/ban-nha-rieng-duong-pho-quang-phuong-2-22/re-t-sai-gon-sat-mat-tien-p2-tan-binh-gia-ban-4ty2-64m2-lh-pr39949043,69.0,0,0,0
39941924,72.0,5500.0,4.0,6.0,5.0,4.0,1,1,binh-tan,106.6035551,10.7833479,https://batdongsan.com.vn/ban-nha-rieng-duong-go-xoai-phuong-binh-hung-hoa-a/ban-tan-tan-ky-tan-quy-4m-x-18m-1-lung-3-lau-5-pn-co-gara-o-to-pr39941924,65.0,1,0,0
37156711,44.73,7500.0,2.0,2.0,2.0,,0,1,quan-5,106.6718819,10.7529467,https://batdongsan.com.vn/ban-nha-rieng-duong-tran-hung-dao-phuong-7-4/chinh-chu-can-ban-hem-4m-doan-2-chieu-7-quan-5-pr37156711,57.0,1,1,0
39937200,244.0,75000.0,7.0,12.0,16.0,,0,0,quan-2,106.73544646281,10.8111021772928,https://batdongsan.com.vn/ban-nha-rieng-phuong-thao-dien/ban-can-ho-dich-vu-khu-pho-tay-quan-2-tp-thu-duc-co-nguon-thu-nhap-on-dinh-pr39937200,54.0,0,0,0
38974802,130.3,13500.0,,1.0,1.0,5.0,0,1,quan-9,106.837481525756,10.8619015155072,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-xien-phuong-long-binh-3/chinh-chu-ban-no-hau-1002-canh-vinhomes-q9-gan-bv-ung-buou-tien-mo-phong-kham-pr38974802,61.0,0,1,0
39934171,69.9,6600.0,,3.0,,,0,0,tan-binh,106.6479009080248400, 10.7825521987434540,https://batdongsan.com.vn/ban-nha-rieng-phuong-10-10/-mot-sec-ra-lac-long-quan-7-4-toi-ha-con-6-6-toi-khong-mua-qua-tiec-pr39934171,69.0,1,0,0
39928873,39.0,3100.0,2.0,2.0,2.0,3.4,0,1,quan-8,106.6323767,10.7295343,https://batdongsan.com.vn/ban-nha-rieng-duong-phu-dinh-phuong-16-1/chinh-chu-ban-p16-quan-8-pr39928873,60.0,1,0,0
39788411,56.25,4150.0,3.0,4.0,3.0,,0,0,binh-thanh,106.687335054492,10.8093196030616,https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-van-dau-phuong-6-13/ban-gap-hem-oto-47-p6-q-binh-thanh-dt-56-25m2-1t-2l-gia-tl-4ty150-pr39788411,66.0,1,1,0
39926492,48.0,,2.0,,,4.0,0,1,hoc-mon,106.5740020993767100, 10.8749303695301690,https://batdongsan.com.vn/ban-nha-rieng-xa-xuan-thoi-son/chinh-chu-can-gap-ban-1-tret-1-lau-tai-hoc-mon-pr39926492,75.0,1,0,0
39925960,43.8,6970.0,6.0,3.0,3.0,5.0,1,1,quan-8,106.6229053,10.7179209,https://batdongsan.com.vn/ban-nha-rieng-duong-truong-dinh-hoi-phuong-16-1/ban-pho-trong-khu-compound-dang-cap-t-tai-hoi-pr39925960,60.0,0,0,0
39836650,82.9,6100.0,4.0,4.0,5.0,5.0,1,1,thu-duc,106.72193110157471,10.869317384414975,https://batdongsan.com.vn/ban-nha-rieng-duong-so-10-phuong-hiep-binh-phuoc/-moi-xay-3-tang-80m2-hoan-cong-o-to-ngay-ds10-thu-duc-pr39836650,71.0,1,0,0
