productId,url,date,price,area,pricePerM2,type,provinceId,districtId,wardId,districtName
39548297,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-pho-doc-ngu-phuong-lieu-giai/chuyen-nhuong-1200m-tmdv-xay-van-phong-tai-gia-165-ty-pr39548297,2024-05-10,165000.0,1.2,137.5,dat-dat-nen,HN,2,64,ba-dinh
39801429,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-duong-vinh-phuc-phuong-vinh-phuc/ban-mat-pho-ba-dinh-via-he-o-to-tranh-kinh-doanh-dt-145m-san-gpxd-7-tang-gia-21-ty-pr39801429,2024-05-10,21000.0,145.0,144.83,dat-dat-nen,HN,2,72,ba-dinh
39629833,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-duong-doi-can-phuong-ngoc-ha/chu-ban-manh-ngo-279-dien-tich-149m-c4-7m-gia-27-9-ty-pr39629833,2024-05-10,27900.0,149.0,187.25,dat-dat-nen,HN,2,65,ba-dinh
39601197,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-condotel-duong-dt-716-phuong-mui-ne-prj-apec-mandala-wyndham-binh-thuan/ban-can-ho-75m2-tai-co-ho-boi-rieng-trong-nha-gia-2-6-ty-pr39806993?source=ad&adid=2420243,2024-05-10,2600.0,75.0,34.67,dat-dat-nen,HN,2,69,ba-dinh
39726927,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-duong-phan-dinh-phung-phuong-quan-thanh/ban-manh-pho-p-34m2-mat-tien-3-4m-gia-5-45-ty-ngo-rong-gan-pho-pr39601197,2024-05-10,5450.0,34.0,160.29,dat-dat-nen,HN,2,61,ba-dinh
38518924,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-duong-doi-can-phuong-doi-can/-linh-lang-pho-nhat-dong-hon-viet-ngo-oto-tranh-sat-pho-170m2-mt-7m-gan-pho-pr39726927,2024-05-10,34000.0,170.0,200.0,dat-dat-nen,HN,2,60,ba-dinh
39812901,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-duong-tran-phu-phuong-dien-bien/ban-manh-vang-mat-pho-139m2-mat-tien-8-5m-kinh-doanh-31-5-ty-pr38518924,2024-05-10,31500.0,139.0,226.62,dat-dat-nen,HN,2,66,ba-dinh
39811672,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-duong-buoi-phuong-ngoc-khanh/ban-61-m2-mat-tien-3-5-met-o-to-vao-nha-so-do-a4-gia-7-3-ty-co-thuong-luong-pr39812901,2024-05-10,7300.0,61.0,119.67,dat-dat-nen,HN,2,64,ba-dinh
39790682,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-nen-du-an-duong-phuoc-thien-phuong-long-binh-3-prj-khu-dan-cu-phuoc-thien/140m2-thu-duc-truoc-nha-20m-7-20-gia-9-ty-pr39512666?source=ad&adid=2419142,2024-05-10,9000.0,140.0,64.29,dat-dat-nen,HN,2,72,ba-dinh
37115374,https://batdongsan.com.vn/ban-dat-dat-nen-ba-dinh/p1/ban-dat-duong-dao-tan-phuong-lieu-giai/manh-dep-61m2-mat-tien-3-5m-ngo-thong-o-to-do-10m-lien-he-pr39811672,2024-05-10,7300.0,61.0,119.67,dat-dat-nen,HN,2,72,ba-dinh
